Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"bairro",214B2D0E-3A9A-5688-4560-22581D0B6A52,86,,948CB763-06B2-7089-5BCE-A2201CD40921,74,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_ENDERECO",,,,4,50 CHAR,,,,
"chatbot_response",85CF2EF3-01E7-5D70-1B7E-B9E068F78349,87,,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_CHATBOT_LOG",,,,5,500 CHAR,,,,
"cidade",2D8AD5ED-F732-E45D-BBA7-B53EF63E5273,88,,948CB763-06B2-7089-5BCE-A2201CD40921,74,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_ENDERECO",,,,5,50 CHAR,,,,
"contato_autoridade",065C3560-5817-0693-EC25-10745CC30046,89,,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_AUTORIDADE",,,,5,200 CHAR,,,,
"data_hora",007D5F5F-D4FA-4611-228B-67D309D27BB1,90,,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,N,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"TB_STATUS_REPORTE",,,,1,,,,,
"data_hora",71E1AC87-439E-924C-66DF-4F8D41040ED7,91,,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,N,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"TB_REPORTE",,,,2,,,,,
"data_hora_medicao",62E6647A-8D37-A476-4597-8418E617F964,92,,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,N,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"TB_MEDICOES_METEOROLOGICAS",,,,1,,,,,
"descricao_ocorrencia",748DA9BA-55D3-8F8F-8238-B76760609B59,93,,14B7E047-E344-5F96-E458-3B352E4A38D6,78,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_OCORRENCIA",,,,2,50 CHAR,,,,
"descricao_status",038633BC-BD23-4DFC-2F53-3BCEBD47C35B,94,,36BC0656-D8B2-44DA-7C3C-D4B113B12ED2,83,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_STATUS",,,,2,20 CHAR,,,,
"direcao_vento",B17FE1CF-9123-D072-6F71-CE2559107ED9,95,,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_MEDICOES_METEOROLOGICAS",,,,6,5 CHAR,,,,
"email_autoridade",877A9C19-338A-BD4A-6C05-0BDF317EDCB7,96,,83105768-F5C2-D4D4-FBA4-9EDE9A66E2D8,76,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_LOGIN",,,,1,30 CHAR,,,,
"estado",5D0D3533-EEE8-7A15-76D0-01714C48F449,97,,948CB763-06B2-7089-5BCE-A2201CD40921,74,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"TB_ENDERECO",,,,6,50 CHAR,,,,
