Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"bairro",6775402F-CC00-B800-4CFE-304740E6DDAA,190,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"chatbot_response",A5B8661F-6EFB-F1B3-868D-DBA4D672E392,191,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_CHATBOT_LOG",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",500 CHAR,,,
"cidade",49F9639E-A117-F98A-81AD-F6FF7C16A144,192,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"contato_autoridade",80A5F49A-55D9-E079-24FE-132528625378,193,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_AUTORIDADE",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",200 CHAR,,,
"data_hora",95779497-437B-1207-CB0C-B865EC390631,194,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_REPORTE",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"data_hora",9201202F-408C-CF7B-A6AC-F630317E710E,195,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_STATUS_REPORTE",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"data_hora_medicao",29FF5282-6B32-DBCC-E83B-325D8EBB961A,196,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,DATE,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"descricao_ocorrencia",93AF7991-B0F9-E75B-5D24-E9F43DA3D96A,197,,181CDE6C-9580-D608-098D-13672312B8E0,182,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_OCORRENCIA",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"descricao_status",8B96B73E-9C39-C880-8C47-34A23BB2EC05,198,,2B0D87B5-F020-67C5-33D5-0396C399D2E5,187,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_STATUS",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"direcao_vento",91DF4FB4-C853-B97C-8525-99C60E81138B,199,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,VARCHAR2,7,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",5,,,
"email_autoridade",2B3C1166-A27E-B71E-641A-9FDB9E81F375,200,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_LOGIN",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",30 CHAR,,,
"estado",7AE57AE7-1DB8-815B-CBC8-0EBD49BED2E0,201,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"hora_mensagem",3D90340A-A60C-D4EE-88E2-5F4ED98DE77E,202,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_CHATBOT_LOG",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",CBDA48B5-FB60-9B26-437F-052003624FB6,203,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_AUTORIDADE",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",22A3266B-7BC1-F00E-9B51-20B398910D51,204,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_LOGIN",,F,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",8DEBDF8E-7F0B-F335-B881-42AE46E6780A,205,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_AUTORIDADE",P,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",A57BA99D-26D9-9CF3-B087-C4874A5A4C0E,206,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_ENDERECO",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",7928EE9E-263F-121A-7215-8EAC1FD34E58,207,,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,Y,,Integer,,,,N,Y,"TB_ESTACOES_METEOROLOGICAS",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
