Entity_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Synonyms,Synonym_To_Display,Preferred_Abbreviation,SuperTypeEntity_ID,Num_SuperTypeEntity_ID,Engineering_Strategy,Owner,Entity_Source
"TB_AUTORIDADE",1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_CHATBOT_LOG",3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_ENDERECO",948CB763-06B2-7089-5BCE-A2201CD40921,74,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_ESTACOES_METEOROLOGICAS",396BA01D-AF73-4A6C-4589-80126BF986BA,75,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_LOGIN",83105768-F5C2-D4D4-FBA4-9EDE9A66E2D8,76,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_MEDICOES_METEOROLOGICAS",71ED427E-3C76-14BB-18D2-6AE4331707F9,77,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,10,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_OCORRENCIA",14B7E047-E344-5F96-E458-3B352E4A38D6,78,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_REGIAO_ATUACAO",BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_REPORTE",393993FF-19F1-E342-3FD5-AA99371CB3DF,80,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_REPORTE_AUTORIDADE",03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_REPORTE_OCORRENCIA",549097C1-DAAD-397D-EACF-63D80E9B075B,82,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_STATUS",36BC0656-D8B2-44DA-7C3C-D4B113B12ED2,83,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_STATUS_REPORTE",79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"TB_SUBPREFEITURA",CB146D74-772C-729F-4A55-8250F2A012C4,85,,E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
