FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"TB_AUTORIDADE_TB_ENDERECO_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,7463FA7B-FB3A-44E2-6212-2C11BD1C5DC3,273,,TB_AUTORIDADE,TB_ENDERECO,Y,NO ACTION,1482759F-CE1E-5498-B570-C3DDF62619C9,176,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,59CECCA2-799B-6901-E3ED-110816F1B397,248,1,
"TB_CHATBOT_LOG_TB_REPORTE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,65E75B27-46EE-80F8-B0CF-F6C036B6A2C9,274,,TB_CHATBOT_LOG,TB_REPORTE,Y,NO ACTION,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,B518D263-00FF-DADA-6BFC-94D37985E784,251,1,
"TB_ESTACOES_METEOROLOGICAS_TB_ENDERECO_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,8B214458-437C-B973-2435-9939DAD1B937,275,,TB_ESTACOES_METEOROLOGICAS,TB_ENDERECO,Y,NO ACTION,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,59CECCA2-799B-6901-E3ED-110816F1B397,248,1,
"TB_LOGIN_TB_AUTORIDADE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,85418A6A-9684-16F0-EF3E-FB6FF1D7A959,276,,TB_LOGIN,TB_AUTORIDADE,Y,NO ACTION,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,1482759F-CE1E-5498-B570-C3DDF62619C9,176,E30565FC-A5A4-B82C-B2C0-FB6B99EC1035,246,1,
"TB_MEDICOES_METEOROLOGICAS_TB_ESTACOES_METEOROLOGICAS_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,71BAA68F-028C-A7B2-FCE7-81305D3725F3,277,,TB_MEDICOES_METEOROLOGICAS,TB_ESTACOES_METEOROLOGICAS,Y,NO ACTION,9B786F98-8A13-725C-01EA-774F48CB32B4,181,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,8AC0C9E8-9726-3C8C-9D4E-C08E4C2DFA8B,249,1,
"TB_REGIAO_ATUACAO_TB_AUTORIDADE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,F571DB06-F9C2-CC14-DABC-21C6BE89552D,278,,TB_REGIAO_ATUACAO,TB_AUTORIDADE,Y,NO ACTION,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,1482759F-CE1E-5498-B570-C3DDF62619C9,176,E30565FC-A5A4-B82C-B2C0-FB6B99EC1035,246,1,
"TB_REGIAO_ATUACAO_TB_SUBPREFEITURA_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,2DC33010-2C73-8198-41CE-23E92DCA73DD,279,,TB_REGIAO_ATUACAO,TB_SUBPREFEITURA,Y,NO ACTION,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,8B8FF8F3-5FF4-E0AA-D074-60CBC7FACCD3,256,1,
"TB_REPORTE_AUTORIDADE_TB_AUTORIDADE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,4BE6F63F-432A-5BAC-F6CE-39C18C2F5E3F,280,,TB_REPORTE_AUTORIDADE,TB_AUTORIDADE,Y,NO ACTION,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,1482759F-CE1E-5498-B570-C3DDF62619C9,176,E30565FC-A5A4-B82C-B2C0-FB6B99EC1035,246,1,
"TB_REPORTE_AUTORIDADE_TB_REPORTE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,A2139AB0-FFB7-5648-F68F-005F7BD5A4DE,281,,TB_REPORTE_AUTORIDADE,TB_REPORTE,Y,NO ACTION,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,B518D263-00FF-DADA-6BFC-94D37985E784,251,1,
"TB_REPORTE_OCORRENCIA_TB_OCORRENCIA_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,B1B16ACD-8C30-3EC4-587C-3B5D6A2A6E10,282,,TB_REPORTE_OCORRENCIA,TB_OCORRENCIA,Y,NO ACTION,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,181CDE6C-9580-D608-098D-13672312B8E0,182,EF83EBC9-048E-7A4B-EED0-A4D7C3A8E6EB,250,1,
"TB_REPORTE_OCORRENCIA_TB_REPORTE_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,0D9A982D-D130-46D5-C35E-81AB5F0EDD71,283,,TB_REPORTE_OCORRENCIA,TB_REPORTE,Y,NO ACTION,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,B518D263-00FF-DADA-6BFC-94D37985E784,251,1,
"TB_REPORTE_TB_ENDERECO_FK",F1B36C89-626C-788D-8D81-EF9043A80BB0,175,0FD9F9A5-8814-34EE-2C64-E71EFE76AA72,284,,TB_REPORTE,TB_ENDERECO,Y,NO ACTION,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,59CECCA2-799B-6901-E3ED-110816F1B397,248,1,
