Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"TB_AUTORIDADE_PK",E30565FC-A5A4-B82C-B2C0-FB6B99EC1035,246,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,Primary Constraint,,N,Y,"TB_AUTORIDADE",N,,,,
"TB_CHATBOT_LOG_PK",BB391496-405F-6B16-7C51-74CA713EDE54,247,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,Primary Constraint,,N,Y,"TB_CHATBOT_LOG",N,,,,
"TB_ENDERECO_PK",59CECCA2-799B-6901-E3ED-110816F1B397,248,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,Primary Constraint,,N,Y,"TB_ENDERECO",N,,,,
"TB_ESTACOES_METEOROLOGICAS_PK",8AC0C9E8-9726-3C8C-9D4E-C08E4C2DFA8B,249,,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,Primary Constraint,,N,Y,"TB_ESTACOES_METEOROLOGICAS",N,,,,
"TB_OCORRENCIA_PK",EF83EBC9-048E-7A4B-EED0-A4D7C3A8E6EB,250,,181CDE6C-9580-D608-098D-13672312B8E0,182,Primary Constraint,,N,Y,"TB_OCORRENCIA",N,,,,
"TB_REPORTE_PK",B518D263-00FF-DADA-6BFC-94D37985E784,251,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,Primary Constraint,,N,Y,"TB_REPORTE",N,,,,
"TB_REPORTE_AUTORIDADE_PK",292334BE-49F7-5C8A-24F6-05C0D0B72C78,252,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Primary Constraint,,N,Y,"TB_REPORTE_AUTORIDADE",N,,,,
"TB_REPORTE_OCORRENCIA_PK",0C30E730-5912-EA91-7F87-88E6324246F6,253,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Primary Constraint,,N,Y,"TB_REPORTE_OCORRENCIA",N,,,,
"TB_STATUS_PK",2F9AF1DB-E528-6526-6856-A0D332294B65,254,,2B0D87B5-F020-67C5-33D5-0396C399D2E5,187,Primary Constraint,,N,Y,"TB_STATUS",N,,,,
"TB_STATUS_REPORTE_PK",C415E6A1-1851-E4C2-EE8F-33BF37AC1F84,255,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,Primary Constraint,,N,Y,"TB_STATUS_REPORTE",N,,,,
"TB_SUBPREFEITURA_PK",8B8FF8F3-5FF4-E0AA-D074-60CBC7FACCD3,256,,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,Primary Constraint,,N,Y,"TB_SUBPREFEITURA",N,,,,
"TB_ESTACOES_METEOROLOGICAS_TB_ENDERECO_FK",9AE8A347-AE7F-8377-6CCF-72B895F9BA6D,257,,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,Foreign Key,,N,Y,"TB_ESTACOES_METEOROLOGICAS",N,,,,
"TB_REPORTE_OCORRENCIA_TB_OCORRENCIA_FK",6E515B86-689F-7142-0A6C-3FD6F8A75BCD,258,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Foreign Key,,N,Y,"TB_REPORTE_OCORRENCIA",N,,,,
"TB_REPORTE_OCORRENCIA_TB_REPORTE_FK",1ADE1F34-4A71-FF24-04E7-BB9ED9EDA643,259,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Foreign Key,,N,Y,"TB_REPORTE_OCORRENCIA",N,,,,
"TB_LOGIN_TB_AUTORIDADE_FK",05538D9F-CC9C-2D95-C6CB-FEE9691EE016,260,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,Foreign Key,,N,Y,"TB_LOGIN",N,,,,
"TB_LOGIN__IDX",8823052D-335A-2F0C-5816-AA847D5E394A,261,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,Unique Plain Index,,N,Y,"TB_LOGIN",N,,,,
"TB_REPORTE_AUTORIDADE_TB_AUTORIDADE_FK",570130FA-D052-7C29-C3E8-6F7EC44E469A,262,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Foreign Key,,N,Y,"TB_REPORTE_AUTORIDADE",N,,,,
"TB_REPORTE_AUTORIDADE_TB_REPORTE_FK",17C62B8D-EC44-48B1-FD90-1E6D1B670D2D,263,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Foreign Key,,N,Y,"TB_REPORTE_AUTORIDADE",N,,,,
"TB_STATUS_REPORTE_TB_STATUS_FK",894BEF7C-6C1F-B3DD-99D3-7DE3EE8EADE5,264,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,Foreign Key,,N,Y,"TB_STATUS_REPORTE",N,,,,
"TB_STATUS_REPORTE_TB_REPORTE_FK",EEE43B19-3855-D4D7-8DD2-D667DDC9FE30,265,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,Foreign Key,,N,Y,"TB_STATUS_REPORTE",N,,,,
"TB_CHATBOT_LOG_TB_REPORTE_FK",F4CF2D8A-26C0-56FF-386C-565D3970A8F6,266,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,Foreign Key,,N,Y,"TB_CHATBOT_LOG",N,,,,
"TB_AUTORIDADE_TB_ENDERECO_FK",8B2CF988-FFCE-7278-3417-45AE925BF54B,267,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,Foreign Key,,N,Y,"TB_AUTORIDADE",N,,,,
"TB_SUBPREFEITURA_TB_ENDERECO_FK",179F6757-F82C-FFE0-369F-B69F9B310D77,268,,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,Foreign Key,,N,Y,"TB_SUBPREFEITURA",N,,,,
"TB_MEDICOES_METEOROLOGICAS_TB_ESTACOES_METEOROLOGICAS_FK",B88752CA-C793-853A-5B40-2773FF0E2AC7,269,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,Foreign Key,,N,Y,"TB_MEDICOES_METEOROLOGICAS",N,,,,
